fdc_id,description,diet_guide_group
334849,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw","Meats, Poultry, Eggs"
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw","Meats, Poultry, Eggs"
2646172,"Beef, ribeye, steak, boneless, choice, raw","Meats, Poultry, Eggs"
334898,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw","Meats, Poultry, Eggs"
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw","Meats, Poultry, Eggs"
334963,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw","Meats, Poultry, Eggs"
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw","Meats, Poultry, Eggs"
2646173,"Beef, round, top round, boneless, choice, raw","Meats, Poultry, Eggs"
335109,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw","Meats, Poultry, Eggs"
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw","Meats, Poultry, Eggs"
335061,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled","Meats, Poultry, Eggs"
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled","Meats, Poultry, Eggs"
2257045,"Almond milk, unsweetened, plain, refrigerated",
1750338,"Almond milk, unsweetened, plain, shelf stable",
1999631,"Almond milk, unsweetened, plain, shelf stable",
2257046,"Oat milk, unsweetened, plain, refrigerated",
2684446,"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",Seafood
2684443,"Crustaceans, shrimp, farm raised, raw",Seafood
2684445,"Fish, catfish, farm raised, raw",Seafood
2684444,"Fish, cod, Atlantic, wild caught, raw",Seafood
333374,"Fish, haddock, raw",Seafood
333476,"Fish, pollock, raw",Seafood
2684441,"Fish, salmon, Atlantic, farm raised, raw",Seafood
2684440,"Fish, salmon, sockeye, wild caught, raw",Seafood
2684442,"Fish, tilapia, farm raised, raw",Seafood
334194,"Fish, tuna, light, canned in water, drained solids",Seafood
2644285,"Beans, black, canned, sodium added, drained and rinsed","Beans, Peas, Lentils"
2644287,"Beans, cannellini, canned, sodium added, drained and rinsed","Beans, Peas, Lentils"
2644281,"Beans, cannellini, dry","Beans, Peas, Lentils"
335912,"Beans, Dry, Black (0% moisture)","Beans, Peas, Lentils"
747444,"Beans, Dry, Black (0% moisture)","Beans, Peas, Lentils"
335425,"Beans, Dry, Brown (0% moisture)","Beans, Peas, Lentils"
747433,"Beans, Dry, Brown (0% moisture)","Beans, Peas, Lentils"
335433,"Beans, Dry, Carioca (0% moisture)","Beans, Peas, Lentils"
747436,"Beans, Dry, Carioca (0% moisture)","Beans, Peas, Lentils"
335782,"Beans, Dry, Cranberry (0% moisture)","Beans, Peas, Lentils"
747437,"Beans, Dry, Cranberry (0% moisture)","Beans, Peas, Lentils"
335245,"Beans, Dry, Dark Red Kidney (0% moisture)","Beans, Peas, Lentils"
747440,"Beans, Dry, Dark Red Kidney (0% moisture)","Beans, Peas, Lentils"
335428,"Beans, Dry, Flor de Mayo (0% moisture)","Beans, Peas, Lentils"
747432,"Beans, Dry, Flor de Mayo (0% moisture)","Beans, Peas, Lentils"
336067,"Beans, Dry, Great Northern (0% moisture)","Beans, Peas, Lentils"
747446,"Beans, Dry, Great Northern (0% moisture)","Beans, Peas, Lentils"
335422,"Beans, Dry, Light Red Kidney (0% moisture)","Beans, Peas, Lentils"
747438,"Beans, Dry, Light Red Kidney (0% moisture)","Beans, Peas, Lentils"
335785,"Beans, Dry, Light Tan (0% moisture)","Beans, Peas, Lentils"
747435,"Beans, Dry, Light Tan (0% moisture)","Beans, Peas, Lentils"
335777,"Beans, Dry, Medium Red (0% moisture)","Beans, Peas, Lentils"
747430,"Beans, Dry, Medium Red (0% moisture)","Beans, Peas, Lentils"
335419,"Beans, Dry, Navy (0% moisture)","Beans, Peas, Lentils"
747441,"Beans, Dry, Navy (0% moisture)","Beans, Peas, Lentils"
335306,"Beans, Dry, Pink (0% moisture)","Beans, Peas, Lentils"
747439,"Beans, Dry, Pink (0% moisture)","Beans, Peas, Lentils"
335695,"Beans, Dry, Pinto (0% moisture)","Beans, Peas, Lentils"
747445,"Beans, Dry, Pinto (0% moisture)","Beans, Peas, Lentils"
335930,"Beans, Dry, Red (0% moisture)","Beans, Peas, Lentils"
747431,"Beans, Dry, Red (0% moisture)","Beans, Peas, Lentils"
335774,"Beans, Dry, Small Red (0% moisture)","Beans, Peas, Lentils"
747443,"Beans, Dry, Small Red (0% moisture)","Beans, Peas, Lentils"
335927,"Beans, Dry, Small White (0% moisture)","Beans, Peas, Lentils"
747442,"Beans, Dry, Small White (0% moisture)","Beans, Peas, Lentils"
335442,"Beans, Dry, Tan (0% moisture)","Beans, Peas, Lentils"
747434,"Beans, Dry, Tan (0% moisture)","Beans, Peas, Lentils"
2644294,"Beans, great northern, canned, sodium added, drained and rinsed","Beans, Peas, Lentils"
2644289,"Beans, kidney, dark red, canned, sodium added, sugar added, drained and rinsed","Beans, Peas, Lentils"
2644290,"Beans, kidney, light red, canned, sodium added, sugar added, drained and rinsed","Beans, Peas, Lentils"
2644286,"Beans, navy, canned, sodium added, drained and rinsed","Beans, Peas, Lentils"
2644292,"Beans, pinto, canned, sodium added, drained and rinsed","Beans, Peas, Lentils"
2644293,"Blackeye pea, canned, sodium added, drained and rinsed","Beans, Peas, Lentils"
2644284,"Blackeye pea, dry","Beans, Peas, Lentils"
2644288,"Chickpeas (garbanzo beans, bengal gram), canned, sodium added, drained and rinsed","Beans, Peas, Lentils"
2644282,"Chickpeas, (garbanzo beans, bengal gram), dry","Beans, Peas, Lentils"
1104705,"Flour, soy, defatted","Beans, Peas, Lentils"
1104766,"Flour, soy, full-fat","Beans, Peas, Lentils"
321358,"Hummus, commercial","Beans, Peas, Lentils"
2644283,"Lentils, dry","Beans, Peas, Lentils"
2262072,"Peanut butter, creamy","Beans, Peas, Lentils"
324860,"Peanut butter, smooth style, with salt","Beans, Peas, Lentils"
2515376,"Peanuts, raw","Beans, Peas, Lentils"
2257044,"Soy milk, sweetened, plain, refrigerated","Nuts, Seeds, Soy Products"
1750337,"Soy milk, unsweetened, plain, shelf stable","Nuts, Seeds, Soy Products"
1999630,"Soy milk, unsweetened, plain, shelf stable","Nuts, Seeds, Soy Products"
325871,"Bread, white, commercially prepared",Refined Grains
335240,"Bread, whole-wheat, commercially prepared",Whole Grains
333008,"Cookies, oatmeal, soft, with raisins",Refined Grains
334247,"Sugars, granulated",
746784,"Sugars, granulated",
